date,s&p500,dividend,earnings,cpi,bondInterest
1889-07,5.30,0.22,0.28,7.612,3.435
1889-08,5.37,0.22,0.29,7.612,3.433
1889-09,5.50,0.22,0.29,7.707,3.430
1889-10,5.40,0.22,0.29,7.707,3.428
1889-11,5.35,0.22,0.30,7.707,3.425
1889-12,5.32,0.22,0.30,7.802,3.423
1890-01,5.38,0.22,0.30,7.612,3.420
1890-02,5.32,0.22,0.30,7.612,3.437
1890-03,5.28,0.22,0.30,7.612,3.453
1890-04,5.39,0.22,0.30,7.612,3.470
1890-05,5.62,0.22,0.30,7.707,3.487
1890-06,5.58,0.22,0.30,7.707,3.503
1890-07,5.54,0.22,0.29,7.707,3.520
1890-08,5.41,0.22,0.29,7.992,3.537
1890-09,5.32,0.22,0.29,8.087,3.553
1890-10,5.08,0.22,0.29,8.087,3.570
1890-11,4.71,0.22,0.29,7.897,3.587
1890-12,4.60,0.22,0.29,7.897,3.603
1891-01,4.84,0.22,0.29,7.802,3.620
1891-02,4.90,0.22,0.30,7.897,3.618
1891-03,4.81,0.22,0.30,7.992,3.617
1891-04,4.97,0.22,0.31,8.087,3.615
1891-05,4.95,0.22,0.31,7.992,3.613
1891-06,4.85,0.22,0.32,7.802,3.612
1891-07,4.77,0.22,0.32,7.707,3.610
1891-08,4.93,0.22,0.32,7.707,3.608
1891-09,5.33,0.22,0.33,7.612,3.607
1891-10,5.33,0.22,0.33,7.612,3.605
1891-11,5.25,0.22,0.34,7.517,3.603
1891-12,5.41,0.22,0.34,7.517,3.602
1892-01,5.51,0.22,0.34,7.326,3.600
1892-02,5.52,0.22,0.35,7.326,3.613
1892-03,5.58,0.23,0.35,7.136,3.625
1892-04,5.57,0.23,0.35,7.041,3.638
1892-05,5.57,0.23,0.35,7.041,3.650
1892-06,5.54,0.23,0.36,7.041,3.663
1892-07,5.54,0.23,0.36,7.231,3.675
1892-08,5.62,0.23,0.36,7.326,3.688
1892-09,5.48,0.24,0.36,7.326,3.700
1892-10,5.59,0.24,0.37,7.326,3.713
1892-11,5.57,0.24,0.37,7.517,3.725
1892-12,5.51,0.24,0.37,7.612,3.738
1893-01,5.61,0.24,0.36,7.897,3.750
1893-02,5.51,0.24,0.35,7.992,3.746
1893-03,5.31,0.24,0.34,7.802,3.742
1893-04,5.31,0.24,0.33,7.707,3.738
1893-05,4.84,0.24,0.32,7.612,3.733
1893-06,4.61,0.25,0.32,7.421,3.729
1893-07,4.18,0.25,0.31,7.231,3.725
1893-08,4.08,0.25,0.30,6.946,3.721
1893-09,4.37,0.25,0.29,7.231,3.717
1893-10,4.50,0.25,0.28,7.326,3.713
1893-11,4.57,0.25,0.27,7.136,3.708
1893-12,4.41,0.25,0.26,7.041,3.704
1894-01,4.32,0.25,0.25,6.850,3.700
1894-02,4.38,0.24,0.24,6.755,3.680
1894-03,4.51,0.24,0.24,6.565,3.660
1894-04,4.57,0.24,0.23,6.565,3.640
1894-05,4.40,0.23,0.22,6.565,3.620
1894-06,4.34,0.23,0.21,6.565,3.600
1894-07,4.25,0.23,0.20,6.565,3.580
1894-08,4.41,0.22,0.19,6.755,3.560
1894-09,4.48,0.22,0.19,6.850,3.540
